created_year,C,Java,JavaScript,Python,Ruby
2009,10.700657627669074,8.800844361451652,18.153771210522045,20.029227896403345,42.31549890395389
2010,12.539319416642837,12.930130588123154,26.12715661042799,21.790105804975692,26.61328757983033
2011,12.89421683572652,16.155974179949943,30.256883151099988,22.534580424186537,18.158345409037018
2012,12.19272190535197,15.467317819851667,34.706707728192136,22.876614975308417,14.756637571295808
2013,11.367788150343062,16.2440126005092,38.2431207836481,22.663655586081905,11.48142287941773
2014,10.431293881644935,17.5422820184692,40.93660291218483,22.84554813866888,8.244273049032154
2015,9.964706209298663,19.111448712841938,41.02972644996341,24.022936332224806,5.871182295671184
2016,8.579561399991983,21.191516657980195,39.781100910074976,26.423445455638856,4.024375576313996
2017,7.62895902078574,19.305778830696337,38.118002087035,32.234114561299606,2.7131455001833205
2018,7.4433015074002125,16.259267365195743,35.350723606817496,38.856591798210815,2.0901157223757285
2019,7.64342262227524,14.519755630264253,32.06087553772187,43.95690995192134,1.8190362578173012
2020,7.196036682948552,12.001280285002574,31.629301827189355,47.357324760990274,1.8160564438692441
2021,7.531751166195648,11.089924750587354,30.39854949095985,49.63737273996391,1.3424018522932344
2022,7.374026525994724,10.869157593409753,32.35121317049389,48.07805292698476,1.327549783116867
